query,tab,tweet
MBG,top,"MBG ini sebenarnya alat kampanye wowo 
@prabowo
 yg dibiayai rakyat untuk pilpres 2029 nanti, makanya dia muliakan para pegawai MBG agar 2029 mereka dan keluarga besarnya ngasih suara untuk wowo! 
Bangsat emang !!"
MBG,top,"Bangsa Indonesia berduka atas gugurnya tiga prajurit TNI dalam tugas mulia sebagai pasukan perdamaian PBB di Lebanon.

Kami, saudara-saudara sebangsa dan se-Tanah Air, mengecam keras setiap tindakan keji yang merusak perdamaian dan menyebabkan gugurnya para prajurit terbaik"
MBG,top,"Kasus dugaan keracunan makanan program Makan Bergizi Gratis (MBG) terjadi di Kecamatan Tegalombo, Pacitan, Jawa Timur.

Puluhan siswa dari tingkat TK, SD, hingga SMP mengalami gejala seperti mual, muntah, pusing, dan lemas setelah mengonsumsi makanan di sekolah. Sebanyak 17 siswa"
MBG,top,"Pemandangan memprihatinkan ditemukan dalam pelaksanaan program Makan Bergizi Gratis (MBG) di Kecamatan Rawajitu Selatan (8/4/2026). 
Banyak makanan yang justru terbuang, bahkan tidak disentuh oleh siswa.

Hal ini terungkap dalam temuan Wakil Bupati Tulang Bawang, Hankam Hasan,"
MBG,top,"-Anggaran 1 porsi MBG: 10rb (sad food)
-Harga chicken steak Superindo selisih 5 ribu dari MBG udah dapat makanan yg sangat layak untuk manusia"
MBG,top,"Bapak guru ini lebih cocok dapat motor ketimbang dapur MBG yang dapat motor.

Kami lebih Ridho, MBG di tutup dan di alihkan ke guru guru terpencil dan fasilitas pendidikan

“Tak punya kendaraan, tapi punya tujuan: mencerdaskan kehidupan. Anak anak bangsa”"
MBG,top,"Beredar video dengan narasi sok yg tahu yang mengatakan mobil pengantar MBG menabrak seorang balita.

Faktanya balita tersebut bukan tertabrak MELAINKAN SEDANG BERMAIN di bawah mobil pengantar MBG yang sedang parkir.

Orang tua yang lalai mengawasi anaknya namun lagi-lagi mobil"
MBG,top,"Setiap kali bege'en meminta maaf atas kelalaian-kelalaiannya, kualitas SDM Indonesia mundur 10 langkah."
MBG,top,"Ini baru MBG 

Beda jauuuuuuuuhhhhhh ... cyn dengan yg ada di Konoha.

Di China bahkan ortu pun bisa ikut memantau kegiatan memasak di dapur MBG lewat cctv yg terkoneksi ke hp mereka.

Bahkan kepsek pun wajib mencicipi dulu menu makanan yg akan di hidangkan untuk siswa.
Tidak"
MBG,top,"Lagi dan lagi, Apa tidak sayang dibuang buang gini.
Pemandangan memprihatinkan ditemukan dalam pelaksanaan program Makan Bergizi Gratis (MBG) di Kecamatan Rawajitu Selatan.
panas sekali"
MBG,top,"Pernyataan sikap kami sejak 2 bulan lalu sama sekali belum berubah. Kami mendesak agar 
@muhammadiyah
 segera memecat kadernya ini. Ia tak hanya tak becus menjadi menteri, tetapi juga turut mengorkestrasi bobroknya mutu pendidikan di Indonesia.

Hal tersebut jelas tak sejalan"
MBG,top,"MBG sejalan dengan kebijakan Anda yang mana?

Abdul Mu'ti: ""MBG bagian dari program Tujuh Kebiasaan Anak Indonesia Hebat. Poin keempatnya adalah makan sehat dan bergizi. MBG juga bagian dari penanaman pendidikan karakter dengan makanan sebagai medianya.""

Apa dampak MBG terhadap"
MBG,top,"Lalu adik ku memukul pelaku dengan tempat makan MBG, agar pelaku berhenti menyerang adik ku. Ternyata pukulan adik ku mengenai dahi pelaku yg menyebabkan berdarah.￼"
